cve,repo,commit
CVE-2013-0865,FFmpeg,ab6c9332bfa1e20127a16392a0b85a4aa4840889
CVE-2013-0866,FFmpeg,96f452ac647dae33c53c242ef3266b65a9beafb6
CVE-2013-0867,FFmpeg,11c99c78bafa77f679a1a3ba06ad00984b9a4cae
CVE-2013-0868,FFmpeg,f67a0d115254461649470452058fa3c28c0df294
CVE-2013-0869,FFmpeg,695af8eed642ff0104834495652d1ee784a4c14d
CVE-2013-0873,FFmpeg,4f1279154ee9baf2078241bf5619774970d18b25
CVE-2013-0894,FFmpeg,2c16bf2de07c68513072bf3cc96401d2c6291a3e
CVE-2013-2277,FFmpeg,bdeb61ccc67911cfc5e20c7cfb1312d0501ca90a
CVE-2013-2495,FFmpeg,3dbc0ff9c3e6f6e0d08ea3d42cb33761bae084ba
CVE-2013-2496,FFmpeg,e398990eb87785e20e065cd3f14d1dbb69df4392
CVE-2013-3670,FFmpeg,c1f2c4c3b49277d65b71ccdd3b6b2878f1b593eb
CVE-2013-3672,FFmpeg,8d3c99e825317b7efda5fd12e69896b47c700303
CVE-2013-3674,FFmpeg,ad002e1a13a8df934bd6cb2c84175a4780ab8942
CVE-2013-4358,FFmpeg,072be3e8969f24113d599444be4d6a0ed04a6602
CVE-2013-7009,FFmpeg,3819db745da2ac7fb3faacb116788c32f4753f34
CVE-2013-7010,FFmpeg,454a11a1c9c686c78aa97954306fb63453299760
CVE-2013-7011,FFmpeg,547d690d676064069d44703a1917e0dab7e33445
CVE-2013-7014,FFmpeg,86736f59d6a527d8bc807d09b93f971c0fe0bb07
CVE-2013-7015,FFmpeg,880c73cd76109697447fbfbaa8e5ee5683309446
CVE-2013-7020,FFmpeg,b05cd1ea7e45a836f7f6071a716c38bb30326e0f
CVE-2014-2098,FFmpeg,ec9578d54d09b64bf112c2bf7a34b1ef3b93dbd3
CVE-2014-2263,FFmpeg,842b6c14bcfc1c5da1a2d288fd65386eb8c158ad
CVE-2014-5271,FFmpeg,52b81ff4635c077b2bc8b8d3637d933b6629d803
CVE-2014-5272,FFmpeg,3539d6c63a16e1b2874bb037a86f317449c58770
CVE-2014-7933,FFmpeg,490a3ebf36821b81f73e34ad3f554cb523dd2682
CVE-2014-7937,FFmpeg,8c50704ebf1777bee76772c4835d9760b3721057
CVE-2014-8541,FFmpeg,5c378d6a6df8243f06c87962b873bd563e58cd39
CVE-2014-8542,FFmpeg,105654e376a736d243aef4a1d121abebce912e6b
CVE-2014-8543,FFmpeg,8b0e96e1f21b761ca15dbb470cd619a1ebf86c3e
CVE-2014-8544,FFmpeg,e1c0cfaa419aa5d320540d5a1b3f8fd9b82ab7e5
CVE-2014-8545,FFmpeg,3e2b745020c2dbf0201fe7df3dad9e7e0b2e1bb6
